Dance Company,Date,Latitude,Longitude,City,Venue,Production 
Dorrance Dance ,1/10/15,42.68400365,-73.84798682,New York,Dany Studios and Pace University,The Initial Approach
Dorrance Dance ,3/6/15,39.0840054,-77.1527573,Rockville,American Dance Institute ,The Blues Project 
Dorrance Dance ,3/13/15,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,The Blues Project 
Dorrance Dance ,4/4/15,42.68400365,-73.84798682,New York,The Joyce Theater ,The Blues Project 
Dorrance Dance ,4/22/15,42.68400365,-73.84798682,New York,14th Street Y,Rhythm in Motion
Dorrance Dance ,4/29/15,45.5202471,-122.6741949,Portland,"White Bird, Schnitzer Concert Hall",The Blues Project 
Dorrance Dance ,5/2/15,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,The Blues Project 
Dorrance Dance ,6/30/15,42.68400365,-73.84798682,New York,Union Square Theatre,The Initial Approach
Dorrance Dance ,7/1/15,42.3320317,-73.0828803,Becket,Jacob's Pillow Festival ,The Blues Project 
Dorrance Dance ,7/24/15,42.68400365,-73.84798682,New York,Lincoln Center Out of Doors,The Blues Project 
Dorrance Dance ,8/20/15,41.3918832,-70.62085428,Martha's Vineyard,The Yard,The Initial Approach
Dorrance Dance ,9/12/15,41.6472761,1.1409115,Tarrega,Col.legi Sant Josep Vedruna,The Initial Approach
Dorrance Dance ,9/25/15,41.5623209,-72.6506488,Middletown,CFA Theater Wesleyan University,Dorrance Dance in Concert
Dorrance Dance ,9/30/15,43.653963,-79.387207,Toronto,Sony Centre,SOUNDspace
Dorrance Dance ,10/8/15,42.68400365,-73.84798682,New York,NY City Center,Myelination
Dorrance Dance ,10/22/15,37.5385087,-77.43428,Richmond,University of Richmond ,The Blues Project 
Dorrance Dance ,10/29/15,44.4723989,-73.2114941,Burlington,Flynn Center,The Initial Approach
Dorrance Dance ,11/4/15,43.4547284,-76.5095967,Oswego,SUNY Oswego,SOUNDspace
Dorrance Dance ,11/19/15,44.9772995,-93.2654692,Minneapolis,Carlson Family Stage UMN,The Blues Project 
Dorrance Dance ,12/2/15,39.9523993,-75.1635899,Philadelphia,Prince Theater,Dorrance Dance in Concert
Dorrance Dance ,12/15/15,42.68400365,-73.84798682,New York,Rainbow Room,Private Holiday Event
Dorrance Dance ,1/15/16,42.68400365,-73.84798682,New York,DANY Studios   ,APAP
Dorrance Dance ,1/20/16,42.68400365,-73.84798682,New York,Lincoln Center Education Program's Meet the Artist School Series,Dorrance Dance in Concert
Dorrance Dance ,1/29/16,40.9645293,-76.8844101,Lewisburg,Bucknell University,Dorrance Dance in Concert
Dorrance Dance ,3/4/16,40.9487097,-73.7326309,Mamaroneck,Emelin Theatre,SOUNDspace
Dorrance Dance ,3/9/16,33.7490987,-84.3901849,Atlanta,Ferst Center for the Arts Georgia Tech,Dorrance Dance in Concert
Dorrance Dance ,3/30/16,42.1290657,-80.0852421,Erie,Mary D'Angelo Performing Arts Center Mercyhurst University,Dorrance Dance in Concert
Dorrance Dance ,4/2/16,40.4416941,-79.9900861,Pittsburgh,Byham Theater,Dorrance Dance in Concert
Dorrance Dance ,4/7/16,41.5051613,-81.6934446,Cleveland,Cleveland Public Theatre,Dorrance Dance in Concert
Dorrance Dance ,4/26/16,42.68400365,-73.84798682,New York,The Joyce Theater ,Double Down 
Dorrance Dance ,5/14/16,39.1731621,-77.2716502,Germantown,BlackRock Center for the Arts,Dorrance Dance in Concert
Dorrance Dance ,6/23/16,49.872775,8.651177,Darmstadt,Staatstheater Darmstadt,Double Down 
Dorrance Dance ,6/26/16,42.2591236,-77.782326,Norwood,Norwood Village Green Concert Series,Dorrance Dance in Concert
Dorrance Dance ,7/2/16,41.3918832,-70.62085428,Martha's Vineyard,The Yard,Double Down 
Dorrance Dance ,7/14/16,44.100351,-70.2147764,Lewiston,Bates Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,7/15/16,40.6475997,-73.1459474,Fire Island,Whyte Hall,SOUNDspace
Dorrance Dance ,7/16/16,44.100351,-70.2147764,Lewiston,Bates Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,8/2/16,39.6426439,-106.3862088,Vail,Vail International Dance Festival,Dorrance Dance in Concert
Dorrance Dance ,8/10/16,42.3320317,-73.0828803,Becket,Jacob's Pillow Festival ,Dorrance Dance in Concert
Dorrance Dance ,9/9/16,29.6519396,-82.3249961,Gainesville,University of Florida,Double Down 
Dorrance Dance ,9/14/16,35.9131542,-79.05578,Chapel Hill,University of North Carolina,Double Down 
Dorrance Dance ,10/5/16,38.8949549,-77.0366456,Washington,The Kennedy Center,The Blues Project 
Dorrance Dance ,10/14/16,45.421106,-75.690308,Ottawa,National Centre,Double Down 
Dorrance Dance ,10/21/16,42.2681569,-83.7312291,Ann Arbor,University of Michigan,SOUNDspace
Dorrance Dance ,11/4/16,41.8755546,-87.6244212,Chicago,Museum of Contemporary Art Chicago,Double Down 
Dorrance Dance ,11/11/16,47.6038321,-122.3300624,Seattle,The Moore Theatre,The Blues Project 
Dorrance Dance ,11/15/16,42.68400365,-73.84798682,New York,The Joyce Theater ,The Blues Project 
Dorrance Dance ,12/1/16,45.4972159,-73.6103642,Montreal,Danse Danse,Double Down 
Dorrance Dance ,12/9/16,36.1622296,-86.7743531,Nashville,OZ Arts Nashville,Double Down 
Dorrance Dance ,1/13/17,42.3602534,-71.0582912,Boston,World Music/CRASHarts at the ICA,Dorrance Dance in Concert
Dorrance Dance ,2/3/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
Dorrance Dance ,2/16/17,42.68400365,-73.84798682,New York,Guggenheim Museum,Works & Process Rotunda Project
Dorrance Dance ,2/24/17,22.2774379,114.173029,Wan Chai,Hong Kong Arts Festival,Double Down 
Dorrance Dance ,3/3/17,42.712207,-73.2035986,Williamstown,Williams College,The Blues Project 
Dorrance Dance ,3/8/17,34.9528779,-120.453263,Santa Barbara,The Granada Theatre at UCSB,Double Down 
Dorrance Dance ,3/16/17,37.7792808,-122.4192363,San Francisco,YBCA Theatre,The Blues Project 
Dorrance Dance ,3/31/17,42.8867166,-78.8783922,Buffalo,University of Buffalo Center for the Arts,Dorrance Dance in Concert
Dorrance Dance ,4/7/17,43.703622,-72.288666,Hanover,Dartmouth College Hopkins Center for the Arts,The Blues Project 
Dorrance Dance ,7/12/17,51.5073219,-0.1276474,London,Sadler's Wells,Double Down 
Dorrance Dance ,7/18/17,48.7784485,9.1800132,Stuttgart,Theaterhaus Stuttgart,Double Down 
Dorrance Dance ,8/10/17,39.6426439,-106.3862088,Vail,Vail International Dance Festival,Double Down 
Dorrance Dance ,10/2/17,42.68400365,-73.84798682,New York,New York City Center ,Myelination
Dorrance Dance ,10/12/17,34.0736204,-118.4003563,Beverly Hills,Wallis Annenburg Center for the Performing Arts,Myelination
Dorrance Dance ,10/27/17,37.8708393,-122.2728639,Berkeley,UC Berkely,Myelination
Dorrance Dance ,10/29/17,38.545379,-121.7445835,Davis,UC Davis Jackson Hall Mondavi Center,Myelination
