Order,Dance Company,Date,Latitude,Longitude ,City,Venue,Production 
1,Kibbutz Contemporary Dance Company,2018,51.9452704,7.1676886,Coesfeld,Konzert Theater Coesfeld,Mother's Milk 
2,Kibbutz Contemporary Dance Company,2018,47.1679898,8.5173652,Zug,Theater Casino Zug,Asylum 
3,Kibbutz Contemporary Dance Company,2018,48.4716556,7.944378,Offenburg,Oberrheinhalle Offenburg,Asylum 
4,Kibbutz Contemporary Dance Company,2018,49.991701,8.4138251,Russelshein ,Theater RUsselsheim,Asylum 
5,Kibbutz Contemporary Dance Company,2018,49.6615131,8.321204086,Worms,Das Wormser Theater,Asylum 
6,Kibbutz Contemporary Dance Company,2018,50.5521486,9.676511,Fulda,Schlosstheater,Asylum 
7,Kibbutz Contemporary Dance Company,2018,50.0499945,10.233302,Schweinfurt,Theater der Stadt Schweinfurt,Asylum 
8,Kibbutz Contemporary Dance Company,2018,50.735851,7.10066,Bonn,Theater Bonn,Asylum 
9,Kibbutz Contemporary Dance Company,2018,47.5025779,9.7472924,Bregenz,Bregenzer Fruhling,Asylum 
10,Kibbutz Contemporary Dance Company,2018,48.7784485,9.1800132,Stuttgart,Stuttgarter Kinder und Jugendfestival | KCDC 2,Asylum 
11,Kibbutz Contemporary Dance Company,2018,49.142291,9.218655,Heilbronn,Theater Heilbronn | TANZ! HEILBRONN Festival ,Asylum 
12,Kibbutz Contemporary Dance Company,2018,51.3391827,12.3810549,Leipzig,Theater der Jungen Welt | KCDC 2 ,Asylum 
13,Kibbutz Contemporary Dance Company,2018,45.7973912,24.1519202,Sibiu,Sibiu Internation Theatre Festival ,Asylum 
14,Kibbutz Contemporary Dance Company,2018,48.8566101,2.3514992,Paris,Theatre de Paris ,Asylum 
15,Kibbutz Contemporary Dance Company,2018,48.1371079,11.5753822,Munich,Theatre de Paris ,Asylum 
16,Kibbutz Contemporary Dance Company,2018,33.6856969,-117.8259819,Irvine,Irvine Barclay Theatre,Asylum 
17,Kibbutz Contemporary Dance Company,2018,25.7742658,-80.1936589,Miami,South Miami-Dade Cultural Arts Center,Asylum 
18,Kibbutz Contemporary Dance Company,2018,38.9719384,-95.2359496,Lawrence,Lied Center of Kansas ,Asylum 
19,Kibbutz Contemporary Dance Company,2018,33.9242688,-84.3785379,Sandy Springs,Sandyy Springs Performing Arts Center's Byers Theatre,Asylum 
20,Kibbutz Contemporary Dance Company,2018,29.7589382,-95.3676974,Houston,Miller Outdoor Theatre ,Asylum 
