Order ,Dance Company,Date,Latitude,Longitude ,City,Venue 
1,Riverdance,1/5/18,26.1223084,-80.1433786,Ft Lauderdale,Au-Rene Theater at the Borward Center 
2,Riverdance,1/9/18,32.7876012,-79.9402728,Chrleston,Gailard Center 
3,Riverdance,1/12/18,30.374673,-88.84594333,Biloxi,Beau Rivage Theatre 
4,Riverdance,1/16/18,33.5206824,-86.8024326,Birmingham,BJCC Concert Hall 
5,Riverdance,1/17/18,33.9550905,-83.3881868,Athens,Classic Center Theatre 
6,Riverdance,1/19/18,27.9477595,-82.458444,Tampa,David A. Straz Center 
7,Riverdance,1/23/18,30.3321838,-81.655651,Jacksonville,Thalia Mara Hall 
8,Riverdance,1/24/18,32.3669656,-86.3006485,Montgomery,Montgomery Performing Arts Centre 
9,Riverdance,1/26/18,28.5421097,-81.3790388,Orlando,Dr. Phillips Center 
10,Riverdance,1/31/18,37.274532,-79.96020968,Roanoke,Berglund Center 
11,Riverdance,2/1/18,41.2493292,-77.0027671,Williamsport,Community Arts Center 
12,Riverdance,2/2/18,38.8949549,-77.0366456,Washington,Warner Theatre 
13,Riverdance,2/8/18,40.03813,-76.3056686,Lancaster,American Music Theatre 
14,Riverdance,2/10/18,41.466023,-71.96290892,Mashantucket,The Grand Theater at Foxwoods Resort Casino 
15,Riverdance,3/13/18,41.5051613,-81.6934446,Cleveland,State Theatre-Playhouse Square Center 
16,Riverdance,2/20/18,44.5126379,-88.0125794,Green Bay,Weidner Center for the Performing Arts 
17,Riverdance,2/22/18,42.1167065,-86.4541894,Benton Harbor,Mendel Center 
18,Riverdance,2/23/18,41.9941334,-87.8756737,Rosemont,Rosemont Theatre 
19,Riverdance,2/25/18,42.2713945,-89.093966,Rockford,Coronado Performing Arts Center 
20,Riverdance,3/2/18,42.5274123,-92.4453179,Cedar Falls,Gallagher Bluedorn Performing Arts Center 
21,Riverdance,3/4/18,42.4966815,-96.4058782,Sioux City,Orpheum Theatre Sioux City 
22,Riverdance,3/8/18,30.2240897,-92.0198427,Lafayette,Heymann Performing Arts Center 
23,Riverdance,3/9/18,29.7589382,-95.3676974,Houston,Hobby Center 
24,Riverdance,3/14/18,41.2587317,-95.9378732,Omaha,Holland Performing Arts Center 
25,Riverdance,3/17/18,39.100105,-94.5781416,Kansas City,Muriel Kauffman Theatre-Kauffman PAC 
26,Riverdance,3/20/18,32.7762719,-96.7968559,Dallas,Winspear Opera House 
27,Riverdance,3/27/18,38.8339578,-104.8253485,Colorado Springs,Pikes Peak Center 
28,Riverdance,4/12/18,50.6758269,-120.3394159,Kamloops,Sandman Centre 
29,Riverdance,4/13/18,49.2608724,-123.1139529,Vancouver,Queen Elizabeth Theatre 
30,Riverdance,6/12/18,53.3497645,-6.2602732,Dublin,The Gaiety Theatre 
31,Riverdance,9/12/18,52.14540645,-9.517469023,Co. Kerry,INEC - Gleneagle Hotel 
