Dance Company,Date,Latitude,Longitude ,City,Venue ,
Riverdance,3/7/15,51.0493286,13.7381437,Dresden,"Messe Dresden, Halle 1 ",
Riverdance,3/8/15,49.9999952,8.2710237,Mainz,Frankfurter Hof,
Riverdance,3/10/15,53.0758196,8.8071646,Bremen,Musical Theater,
Riverdance,3/13/15,54.3216753,10.1371858,Kiel,Sparkassen-Arena Kiel,
Riverdance,3/14/15,53.550341,10.000654,Hamburg,Congress Centrum Hamburg Saal 1,
Riverdance,3/16/15,49.8926723,10.8876149,Bamberg,Congress Centrum Hamburg Saal 1,
Riverdance,3/17/15,47.7811014,9.612468,Ravensburg,Oberschwabenhalle,
Riverdance,3/18/15,48.7784485,9.1800132,Stuttgart,Porsche-Arena ,
Riverdance,3/19/15,49.0195333,12.0974869,Regensburg,Donau-Arena,
Riverdance,3/20/15,48.3954965,10.00589,Neu-Ulm,ratiopharm arena ,
Riverdance,3/21/15,47.5025779,9.7472924,Bregenz,Bregenzer Festspiel,
Riverdance,3/24/15,51.5142273,7.4652789,Dortmund,Westfalenhalle 1 ,
Riverdance,3/25/15,52.010877,8.540868,Bielefeld,Stadthalle Bielefeld ,
Riverdance,3/26/15,51.457087,7.011429,Essen,Grugahalle Essen ,
Riverdance,3/27/15,51.2254018,6.7763137,Dusseldorf,Mitsubishi Electric Halle ,
Riverdance,3/29/15,50.5521486,9.676511,Fulda,Esperantohalle ,
Riverdance,6/13/15,51.8979282,-8.4705806,Cork,Live at the Marquee,
Riverdance,7/7/15,53.3497645,-6.2602732,Dublin,Gaiety Theatre,
Riverdance,9/28/15,49.884017,-97.168579,Winnipeg,Mantoba Burton Theatre,
Riverdance,10/30/15,47.6038321,-122.3300624,Seattle,Washington Paramount Theatre,
Riverdance,11/16/15,36.7394421,-119.7848307,Fresno,California Saroyan Theatre ,
Riverdance,11/20/15,45.5202471,-122.6741949,Portland,Oregon Keller Auditorium ,
Riverdance,11/24/15,37.3297085,-121.9031599,San Jose,California San Jose Center for the Performing Arts ,
Riverdance,1/1/16,33.6633386,-117.903317,Costa Mesa,California OCPAC,
Riverdance,1/22/16,33.7288179,-116.3825711,Palm Desert,McCallum Theatre,
Riverdance,1/31/16,36.1662859,-115.149225,Las Vegas,The Smith Center,
Riverdance,2/9/16,40.6460635,-111.4979741,Park City,Kansas Hartman Arena ,
Riverdance,2/21/16,37.8882168,-95.3170208,Allen,Texas Allen Event Center,
Riverdance,2/26/16,29.4246002,-98.4951405,San Antonio,Texas Majestic Theatre,
Riverdance,3/1/16,31.9973662,-102.0779482,Midland,Wagner Noel Performing Arts Center ,
Riverdance,3/8/16,39.7391536,-104.9847034,Denver,Colorado Buell Auditorium ,
Riverdance,3/18/16,41.5910641,-93.6037149,Des Moines,Indiana Des Moines PAC,
Riverdance,3/29/16,52.6361398,-1.1330789,Leicester,De Montford Hall ,
Riverdance,4/1/16,51.4816546,-3.1791934,Cardiff,Cardiff St. David's Hall ,
Riverdance,4/5/16,53.3806626,-1.4702278,Sheffield,Sheffield City Hall ,
Riverdance,4/8/16,53.4791301,-2.2441009,Manchester,O2 Apollo Manchester ,
Riverdance,4/12/16,42.9632405,-85.6678639,Grand Rapids,Michigan Devos Performance Hall,
Riverdance,4/13/16,53.9590555,-1.0815361,York,York Barbican ,
Riverdance,4/15/16,55.856656,-4.2435817,Glasgow,SECC,
Riverdance,4/19/16,53.7974185,-1.5437941,Leeds,Leeds Arena ,
Riverdance,4/23/16,54.9770924,-1.6142059,Newcastle Upon Tyne,Metro Radio Arena ,
Riverdance,4/26/16,51.5073219,-0.1276474,London,New Wimbledon New Theatre,
Riverdance,5/3/16,52.2034823,0.1235817,Cambridge,Cambridge Corn Exchange,
Riverdance,5/6/16,53.0162014,-2.1812607,Stoke-On-Trent,Regent Theatre,
Riverdance,5/10/16,50.8036831,-1.075614,Portsmouth,Portsmouth Guildhall,
Riverdance,5/13/16,50.3712659,-4.1425658,Plymouth,Plymouth Pavillions ,
Riverdance,5/18/16,51.3391827,12.3810549,Leipzig,Arena Leipzig,
