Order ,Dance Company,Date,Latitude,Longitude,City,Venue,Production 
1,Sankai Juku ,03/23/19,33.8829996,130.8749015,Kitakyushu ,Kitakyushu Performing Arts Center,ARC
2,Sankai Juku ,04/29/19,48.8566101,2.3514992,Paris,Theatre des Champs-Elysees,ARC
3,Sankai Juku ,05/10/19,43.6589011,6.9239103,Grasse ,Theatre De Grasse ,Utsushi
4,Sankai Juku ,09/28/19,-5.6457326,-44.3244352,Sao Paulo ,Teatro Alfa ,ARC
5,Sankai Juku ,10/04/19,34.4221319,-119.7026673,Santa Barbara,The Granada Theatre,Meguri 
6,Sankai Juku ,10/06/19,34.054935,-118.244476,Los Angeles,Royce Hall ,Meguri 
7,Sankai Juku ,10/12/19,37.7792808,-122.4192363,San Francisco,Zellerbach Hall ,Meguri 
8,Sankai Juku ,10/17/19,47.6038321,-122.3300624,Seattle,Meany Hall ,Meguri 
9,Sankai Juku ,10/22/19,41.6612561,-91.5299106,Iowa City,Hancher Auditorium ,Utsushi 
10,Sankai Juku ,10/25/19,42.2681569,-83.7312291,Ann Arbor,Power Center ,Meguri 
